ItemID,BatchNumber,GenericName,MaxInventory,CurrentStock,ReorderPoint,Unit,StorageCondition,SpecialHandling,UnitCost,SellingPrice,ManufacturingDate,ExpiryDate,LeadTimeDays,Status,LastUpdated
ITEM-CCEE944C,P2410-2692,Paracetamol,1000000,951453,93150.68493150684,g,Room Temperature,,63.53,78.69,18-10-2024,14-12-2026,27,Active,11-02-2025 22:24
ITEM-32C437D9,I2410-7657,Ibuprofen,800000,770922,61369.86301369863,g,Room Temperature,,46.62,82.27,23-10-2024,14-10-2027,21,Active,11-02-2025 22:24
ITEM-00DBC34C,A2408-6011,Aspirin,750000,194347,98630.13698630137,g,Room Temperature,,87.73,137.51,21-08-2024,02-02-2026,41,Active,11-02-2025 22:24
ITEM-CC350352,A2409-4578,Atorvastatin,250000,16052,15753.424657534246,g,Room Temperature,,64.53,148.8,10-09-2024,23-02-2027,16,Active,11-02-2025 22:24
ITEM-2AB2ABEF,L2412-6204,Lisinopril,300000,133725,28767.12328767123,g,Room Temperature,,95.87,53.8,28-12-2024,10-02-2026,28,Active,11-02-2025 22:24
ITEM-5E3F6D68,M2410-3135,Metformin,900000,357566,76438.35616438356,g,Room Temperature,,67.7,106.9,03-10-2024,17-01-2027,24,Active,11-02-2025 22:24
ITEM-02A72706,A2410-6742,Amoxicillin,500000,481838,39726.02739726027,g,Room Temperature,,20.92,42.41,29-10-2024,03-11-2025,22,Active,11-02-2025 22:24
ITEM-8F86EF91,C2412-9573,Ciprofloxacin,400000,63189,36164.38356164384,g,Room Temperature,,56.36,26.45,27-12-2024,01-12-2026,26,Active,11-02-2025 22:24
ITEM-3AABDB93,S2412-2755,Sildenafil,200000,87637,26849.315068493153,g,Room Temperature,,30.58,36.1,12-12-2024,25-12-2025,42,Active,11-02-2025 22:24
ITEM-1113DD0E,A2501-4364,Albuterol,150000,37079,8630.136986301368,g,Room Temperature,,34.2,34.73,04-01-2025,04-07-2027,14,Active,11-02-2025 22:24
ITEM-B2378A41,I2411-4584,Insulin,100000,51767,8493.150684931508,IU,Refrigerated,Temperature Sensitive,42.68,126,25-11-2024,06-10-2027,24,Active,11-02-2025 22:24
ITEM-B14B42DE,A2501-4213,Adalimumab,50000,4569,3972.6027397260273,mg,Room Temperature,,79.49,137.59,07-01-2025,02-04-2027,22,Active,11-02-2025 22:24
ITEM-262D39D9,R2409-7859,Rituximab,75000,41600,6780.821917808218,mg,Room Temperature,,20.79,22.74,18-09-2024,28-10-2025,26,Active,11-02-2025 22:24
ITEM-16BA9109,E2410-2415,Erythropoietin,40000,17211,5589.041095890411,IU,Refrigerated,Temperature Sensitive,64.81,16.32,02-10-2024,02-07-2027,44,Active,11-02-2025 22:24
ITEM-8AFEBE46,GH2410-6259,Growth Hormone,30000,13941,2794.520547945205,IU,Refrigerated,Temperature Sensitive,94.15,24.04,26-10-2024,26-10-2025,27,Active,11-02-2025 22:24
ITEM-5AEDFB62,FV2410-4305,Flu Vaccine,200000,134306,23013.698630136983,doses,Refrigerated,Temperature Sensitive,35.21,36.73,07-10-2024,23-12-2026,35,Active,11-02-2025 22:24
ITEM-3A00619E,H2412-3086,Hydrocortisone,30000,3252,3616.4383561643835,mg,Room Temperature,,23.74,144.4,01-12-2024,10-06-2026,37,Reorder Required,11-02-2025 22:24
ITEM-A184D581,AI2409-4941,Alpha Interferon,25000,3403,2054.7945205479455,mcg,Room Temperature,,33.23,100.01,10-09-2024,23-02-2026,23,Active,11-02-2025 22:24
ITEM-7B5DECC3,BI2501-1285,Beta Interferon,25000,7068,2876.712328767123,mcg,Room Temperature,,51.34,74.62,11-01-2025,01-06-2026,35,Active,11-02-2025 22:24
